pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
KMT-2020-BLG-0202L b,12.4,3902.93283796,,4.17,,,0.81,,2026.0,Microlensing,3840.0
KMT-2022-BLG-1551L b,13.2,940.77208472,,2.29,,,0.54,,2026.0,Microlensing,6900.0
HD 95338 b,4.27174254,42.9,55.082694,0.262,0.197,5097.0,0.848,0.868,2020.0,Radial Velocity,36.9941
KMT-2022-BLG-1818L b,13.0,1271.313628,,2.6,,,0.79,,2026.0,Microlensing,5300.0
TOI-1243 b,2.33,7.7,4.6594779,,,3515.0,0.515,0.511,2026.0,Transit,43.1865
TOI-5938 b,3.82,14.0,2.260424,0.0308,,4650.0,0.744,0.712,2026.0,Transit,114.035
TOI-7009 b,3.71,13.3,2.3206612,0.0287,,4080.0,0.583,0.564,2026.0,Transit,184.12
KMT-2025-BLG-0121L b,12.6,2469.52672239,,3.05,,,0.61,,2026.0,Microlensing,6200.0
HD 28109 b,2.69,6.2,22.891054,0.1357,0.0071,6189.0,1.227,1.425,2022.0,Transit,139.611
TOI-5388.01,0.99,2.2,2.5946748,0.024335855,,3440.0,0.292,0.3,2024.0,Transit,18.5226
KMT-2024-BLG-2087L b,12.9,1395.26670673,,3.03,,,0.48,,2026.0,Microlensing,7190.0
HD 100508 b,13.7,381.3940884,5681.0,6.11,0.42,5419.0,0.94,1.0179,2026.0,Radial Velocity,32.7548
HD 114386 c,13.4,117.59651059,444.0,1.05,0.1,4895.0,0.8,0.76,2026.0,Radial Velocity,27.9243
HD 28109 d,3.11,5.8,84.2899,0.411,0.0054,6189.0,1.227,1.425,2022.0,Transit,139.611
KMT-2020-BLG-0414L b,1.2,1.87,,2.07,,,0.49,,2021.0,Microlensing,1220.0
TOI-6716 b,0.982,0.911,4.7185898,0.0319,0.88,3110.0,0.223,0.231,2026.0,Transit,18.8873
HD 154345 b,13.7,376.9444907,3280.0,4.158,0.058,5468.0,0.89,0.85,2006.0,Radial Velocity,18.284
HD 217107 b,13.6,459.57987652,7.1270166,0.07359,0.1284,5622.0,1.045,1.2245,1998.0,Radial Velocity,20.0619
TOI-1472 b,4.058,18.05,6.36338574,0.064,0.041,5100.0,0.87,0.84,2024.0,Transit,121.84
TOI-1648 b,2.54,7.4,7.331602,0.0694,0.178,4850.0,0.83,0.81,2025.0,Transit,69.835
HD 164604 b,12.3,4195.3349724,653.9,1.362,0.479,4663.0,0.77,0.78,2009.0,Radial Velocity,39.3633
HD 164604 c,12.5,3019.3698665,5387.0,5.556,0.196,4663.0,0.77,0.78,2026.0,Radial Velocity,39.3633
HIP 54515 b,12.2,5625.5628039,33000.0,24.8,0.42,8100.0,1.9,1.64915,2026.0,Imaging,82.8101
TOI-1518 b,21.05046575,581.62598481,1.90261131,0.03712,0.01,7299.0,1.88,1.942,2021.0,Transit,225.888
GJ 4274 b,1.53,2.97,1.6339,0.0153,,3228.0,0.18,0.19,2026.0,Radial Velocity,7.23556
LHS 1903 b,1.382,3.28,2.1555098,0.02656,0.015,3664.0,0.538,0.539,2026.0,Transit,35.6917
LHS 1903 c,2.046,4.55,6.226185,0.05387,0.089,3664.0,0.538,0.539,2026.0,Transit,35.6917
TOI-1080 b,1.2,10.7,3.9652482,0.0272,,3065.0,0.1667,0.2019,2026.0,Transit,25.559
