pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
"TOI-1422 c",2.61000000,14.00000000,34.56330000000,0.2050000000,0.200000,5840.00,0.990300,1.019000,2025,"Radial Velocity",155.14100000
"TOI-4155 b",3.21000000,10.40000000,3.32072900000,,,5724.00,1.160000,0.950000,2025,"Transit",240.73700000
"GJ 9689 b",3.07000000,9.65000000,18.27000000000,0.1139000000,0.290000,3836.00,0.590000,0.570000,2020,"Radial Velocity",30.62030000
"Kepler-169 d",1.25000000,2.10000000,8.34812500000,0.0750000000,0.000000,4997.00,0.825000,0.763000,2014,"Transit",406.52900000
"Kepler-191 d",2.28000000,5.82000000,5.94504101700,0.0610400000,0.000000,5215.00,0.840000,0.800000,2016,"Transit",594.46400000
"K2-8 b",3.58000000,12.50000000,10.35239000000,0.0856000000,,4870.00,0.780000,0.740000,2015,"Transit",403.51300000
"HATS-33 b",13.78707000,378.85336000,2.54955510000,0.0372700000,0.080000,5659.00,1.062000,1.022000,2016,"Transit",248.46000000
"Kepler-1464 b",1.66000000,3.39000000,31.77859010000,0.2006600000,0.000000,5828.00,1.020000,1.010000,2016,"Transit",1151.73000000
"Kepler-805 b",2.89000000,8.70000000,30.86389310000,0.1985200000,0.000000,6112.00,1.190000,1.650000,2016,"Transit",638.49000000
"17 Sco b",12.90000000,1373.01871824,578.38000000000,1.4500000000,0.060000,4157.00,1.220000,25.920000,2020,"Radial Velocity",124.95300000
"Kepler-264 c",2.83000000,8.40000000,140.10126100000,0.5660000000,0.000000,6158.00,1.426000,1.550000,2014,"Transit",942.17300000
"HR 858 b",2.00400000,3.55000000,3.58528700000,0.0488800000,0.000000,6354.00,1.204000,1.258000,2019,"Transit",31.96400000
"Kepler-941 b",3.08000000,9.69000000,17.42395198000,0.1311000000,0.000000,5539.00,0.890000,0.860000,2016,"Transit",1088.36000000
"Kepler-1832 b",1.22719556,2.02000000,3.13878989200,0.0370000000,0.000000,5242.00,0.684000,0.722000,2021,"Transit",486.17400000
"TOI-833 b",1.27000000,2.15000000,1.04187770000,0.0171000000,,3920.00,0.610000,0.600000,2022,"Transit",41.71480000
"HD 38283 b",14.00000000,127.13200000,363.20001000000,1.0200000000,0.410000,5981.00,1.370000,1.490000,2010,"Radial Velocity",38.06150000
"Kepler-341 b",1.18000000,1.76000000,5.19552800000,0.0600000000,0.000000,6012.00,0.976000,1.024000,2014,"Transit",1047.03000000
"TIC 153919886 b",2.70601108,7.78000000,2.10510492329,,,4137.16,0.581261,0.591697,2026,"Transit",132.33000000
"Kepler-1669 b",2.78043818,8.15000000,9.51216000000,0.0745000000,0.000000,4303.00,0.670000,0.714145,2020,"Transit",543.44400000
"Kepler-295 c",1.17000000,1.71000000,21.52625800000,0.1420000000,0.000000,5603.00,0.890000,0.898000,2014,"Transit",1699.19000000
"NN Ser c",12.60000000,2329.60000000,6987.00000000000,5.3500000000,0.089000,57000.00,0.535000,,2010,"Eclipse Timing Variations",515.81800000
"Kepler-1802 b",1.67100000,3.43000000,15.45020008000,0.0662000000,0.000000,4245.00,0.649000,0.637000,2021,"Transit",636.69400000
"TOI-6008 b",1.03000000,4.00000000,0.85743470000,0.0107770000,,3075.00,0.230000,0.242000,2024,"Transit",23.10080000
"Kepler-1437 b",1.37000000,2.45000000,10.92954610000,0.0951000000,0.000000,5557.00,0.930000,0.900000,2016,"Transit",2101.69000000
"Kepler-330 b",1.35000000,2.39000000,8.25978000000,0.0750000000,0.000000,5117.00,0.848000,0.722000,2014,"Transit",717.52700000
"Kepler-100 c",2.20000000,7.05000000,12.81590000000,0.1106100000,0.020000,5825.00,1.080000,1.490000,2014,"Transit",304.64500000
"K2-377 b",1.69300000,3.51000000,12.83223500000,,,4200.00,0.821000,0.691000,2022,"Transit",195.14900000
"Kepler-554 b",4.29000000,17.00000000,1.90220855600,0.0302200000,0.000000,5447.00,0.930000,0.920000,2016,"Transit",690.52500000
